track,peak_position,year,artist
track_142,80,2020,Artist_7
track_143,82,2022,Artist_7
track_144,89,2024,Artist_7
track_145,96,2021,Artist_7
track_146,64,2024,Artist_7
track_147,75,2020,Artist_7
track_148,40,2020,Artist_7
track_149,71,2021,Artist_7
track_150,56,2021,Artist_7
track_151,26,2021,Artist_7
track_152,92,2022,Artist_7
track_153,83,2023,Artist_7
track_154,59,2024,Artist_7
track_155,92,2022,Artist_7
track_156,9,2024,Artist_7
track_157,45,2020,Artist_7
track_158,100,2020,Artist_7
track_159,43,2023,Artist_7
track_160,39,2024,Artist_8
track_161,35,2020,Artist_8
track_162,41,2021,Artist_8
track_163,100,2020,Artist_8
track_164,1,2021,Artist_8
track_165,80,2020,Artist_8
track_166,55,2020,Artist_8
track_167,63,2023,Artist_8
track_168,57,2022,Artist_8
track_169,32,2022,Artist_8
track_170,57,2022,Artist_8
track_171,68,2023,Artist_8
track_172,44,2024,Artist_8
track_173,100,2020,Artist_8
track_174,39,2024,Artist_8
track_175,38,2023,Artist_8
track_176,82,2022,Artist_8
track_177,51,2021,Artist_8
track_178,54,2024,Artist_8
track_179,28,2023,Artist_8
track_180,60,2020,Artist_9
track_181,75,2020,Artist_9
track_182,84,2024,Artist_9
track_183,74,2024,Artist_9
track_184,56,2021,Artist_9
track_185,86,2021,Artist_9
track_186,57,2022,Artist_9
track_187,100,2020,Artist_9
track_188,86,2021,Artist_9
track_189,37,2022,Artist_9
track_190,96,2021,Artist_9
track_191,95,2020,Artist_9
track_192,81,2021,Artist_9
track_193,100,2020,Artist_9
track_194,65,2020,Artist_9
track_195,90,2020,Artist_9
track_196,19,2024,Artist_9
track_197,80,2020,Artist_9
track_198,78,2023,Artist_9
track_199,21,2021,Artist_9
